Title,Location,Price_Period,Date_Added_Updated,Bed_Bath_Toilet
3 BEDROOM FLAT & APARTMENT FOR RENT,"


 Banana Island Ikoyi Lagos Banana Island Ikoyi Lagos ","  14,000,000 ",Added 11 Jan 2021,33
4 BEDROOM TOWNHOUSE FOR RENT,"


 19 Adams Opebi Ikeja Lagos ","  3,000,000 ",Added 09 Jan 2021,44
2 BEDROOM HOUSE FOR RENT,"


 16 Ademola Eletu Street Osapa Lekki Lagos ","  1,500,000 ",Added 08 Jan 2021,20
SHOP FOR RENT,"


 Ikota Shopping Complex Ikota Lekki Lagos ","  2,000,000 ",Added 08 Jan 2021,
3 BEDROOM TERRACE FOR RENT,"


 Vgc Victoria Garden City Lekki Lagos ","  3,000,000 ",Added 08 Jan 2021,33
3 BEDROOM TERRACE FOR RENT,"


 Mini Estate Behind Maryland Mall Maryland Ikeja Lagos ","  3,500,000 ",Added 08 Jan 2021,334
3 BEDROOM FLAT & APARTMENT FOR RENT,"


 Oniru Victoria Oniru Victoria Island Lagos ","  3,000,000 ",Added 07 Jan 2021,33
COMMERCIAL PROPERTY FOR RENT,"


 Allen Avenue Allen Avenue Ikeja Lagos ","  2,200,000 ",Added 07 Jan 2021,
4 BEDROOM DUPLEX FOR RENT,"


 2nd Toll Gate ,orchid Road,lekki,lagos Chevron Drive Lekki Lagos ","  3,500,000 ",Added 07 Jan 2021,44
2 BEDROOM FLAT & APARTMENT FOR RENT,"


 6 Olu Akande Abule Ijesha Yaba Lagos ","  700,000 ",Added 07 Jan 2021,22
2 BEDROOM FLAT & APARTMENT FOR RENT,"


 4 Off Bode Thomas Bode Thomas Surulere Lagos ","  950,000 ",Added 07 Jan 2021,22
3 BEDROOM FLAT & APARTMENT FOR RENT,"


 10 Paul Ipaja Agege Lagos ","  1,000,000 ",Added 07 Jan 2021,33
5 BEDROOM DUPLEX FOR RENT,"


 At Lekki Phase 1 Lekki Lagos ","  15,000,000 ",Added 06 Jan 2021,56
3 BEDROOM TERRACE FOR RENT,"


 Magodo Phase 1 Gra Isheri 4 Magodo Isheri Ikeja Lagos ","  2,600,000 ",Added 06 Jan 2021,334
4 BEDROOM TERRACE FOR RENT,"


 At Ikoyi Ikoyi Lagos ","  10,000,000 ",Added 05 Jan 2021,45
4 BEDROOM TERRACE FOR RENT,"


 Osborne Phase 1 Ikoyi Ikoyi Lagos ","  10,000,000 ",Added 04 Jan 2021,45
4 BEDROOM TERRACE FOR RENT,"


 Parkview Estate Parkview Estate Ikoyi Lagos ","  7,000,000 ",Added 04 Jan 2021,445
OFFICE FOR RENT,"


 64 Kudirat Abiola Oregun Ikeja Lagos ","  1,200,000 ",Added 01 Jan 2021,
1 BEDROOM DUPLEX FOR RENT,"


 Brentwood Estate By Meadow Hall. Ikate Elegushi Lekki Lagos ","  1,500,000 ",Added 30 Dec 2020,12
4 BEDROOM DUPLEX FOR RENT,"


 Ikoyi Ikoyi Ikoyi Lagos ","  25,000,000 ",Added 30 Dec 2020,44
4 BEDROOM FLAT & APARTMENT FOR RENT,"


 Rv Ogunbiyi Street Gra Ikeja Ikeja Gra Ikeja Lagos ","  4,000,000 ",Added 30 Dec 2020,44
3 BEDROOM FLAT & APARTMENT FOR RENT,"


 Liverpool Road Ikoyi Ikoyi Ikoyi Lagos ","  8,000,000 ",Added 30 Dec 2020,33
